video_id,url,published,age_days,mature_7d,title,duration_s,duration_bucket,views,likes,comments,title_chars,title_words,caps_share,question,payoff_named,withholding,likes_per_1k_views
QJZmsoiZa3w,https://www.youtube.com/shorts/QJZmsoiZa3w,2026-06-03,77,True,CaseOh gets a YODELLING PICKLE!!!!!  #caseoh #funny,16,15-19s,1267,22,3,35,5,0.4,False,False,False,17.364
AujBy8TPfbM,https://www.youtube.com/shorts/AujBy8TPfbM,2026-06-03,77,True,Caseoh tries the spiciest sauce on his newest Stream! #caseoh #funnymoments  #memes,41,30-60s,1307,39,2,53,9,0.0,False,False,False,29.839
Kh6mrqaJ7N0,https://www.youtube.com/shorts/Kh6mrqaJ7N0,2026-06-02,78,True,CaseOh BOUNCES on a ANGRY FAN!!!,14,10-14s,1972,16,1,32,6,0.5,False,False,False,8.114
rWk5nSyrqnU,https://www.youtube.com/shorts/rWk5nSyrqnU,2026-06-01,79,True,CaseOh reacts to Jynxzi loosing in Minecraft Hardcore..,6,0-9s,11265,93,8,55,8,0.0,False,False,True,8.256
YcMjN2M8j7Y,https://www.youtube.com/shorts/YcMjN2M8j7Y,2026-05-29,82,True,CaseOh had the wildest crashout at Ted....,31,30-60s,4137,43,3,42,7,0.0,False,False,False,10.394
0nqd4XCSWpY,https://www.youtube.com/shorts/0nqd4XCSWpY,2026-05-29,82,True,Which Caseoh moment was your favorite? #caseoh #rank,31,30-60s,2315,36,6,38,6,0.0,True,False,False,15.551
1LaF3FkiS4o,https://www.youtube.com/shorts/1LaF3FkiS4o,2026-05-28,83,True,CaseOh SNAPS at a KID in Roblox!!!!!,8,0-9s,28091,59,9,36,7,0.2857,False,True,False,2.1
p8UrIsqUI9g,https://www.youtube.com/shorts/p8UrIsqUI9g,2026-05-27,84,True,CaseOh hits a crazy Combo in Tennis Rivals,13,10-14s,2485,39,13,42,8,0.0,False,False,True,15.694
lMIyaDSXGRw,https://www.youtube.com/shorts/lMIyaDSXGRw,2026-05-27,84,True,CaseOh Choosing a new skin in roblox,10,10-14s,3529,17,4,36,7,0.0,False,False,False,4.817
cBo-VMEIPeY,https://www.youtube.com/shorts/cBo-VMEIPeY,2026-05-27,84,True,CaseOh has the best customer 😊 #caseoh #gaming #shorts #funny,12,10-14s,2827,34,2,30,5,0.0,False,False,False,12.027
vBRxkRRP6DU,https://www.youtube.com/shorts/vBRxkRRP6DU,2026-05-26,85,True,CaseOh's new marketing strategies in The house always wins,27,20-29s,3193,57,4,58,10,0.0,False,True,False,17.852
s1H3mkd88G4,https://www.youtube.com/shorts/s1H3mkd88G4,2026-05-26,85,True,CaseOh gets eaten by a creature bigger than him,20,20-29s,1056,22,,47,9,0.0,False,False,False,20.833
nFzUTm64u-0,https://www.youtube.com/shorts/nFzUTm64u-0,2026-05-26,85,True,CaseOh is charging crazy prices at the Case Ino....,40,30-60s,12633,462,14,51,9,0.0,False,False,True,36.571
epxeTnpLSwY,https://www.youtube.com/shorts/epxeTnpLSwY,2026-05-26,85,True,CaseOh’s best moments in the house always wins!!,55,30-60s,18571,872,10,48,9,0.0,False,True,False,46.955
UTL7yicEmno,https://www.youtube.com/shorts/UTL7yicEmno,2026-05-26,85,True,Bro just dumped trashed right in his face,7,0-9s,2147,36,2,41,8,0.0,False,False,False,16.768
OO6lvHynF-4,https://www.youtube.com/shorts/OO6lvHynF-4,2026-05-26,85,True,CASEOH ranks FOOD again!,80,30-60s,3585,49,7,24,4,0.5,False,False,False,13.668
GvENQVZU0RE,https://www.youtube.com/shorts/GvENQVZU0RE,2026-05-26,85,True,Caseoh is disappointed in his new Business,37,30-60s,6796,160,2,42,7,0.0,False,False,False,23.543
4zmA3Kp95iE,https://www.youtube.com/shorts/4zmA3Kp95iE,2026-05-26,85,True,Caseoh gets weirded out by a fan in roblox,21,20-29s,2810,27,1,42,9,0.0,False,False,False,9.609
WXAPn-2smpA,https://www.youtube.com/shorts/WXAPn-2smpA,2026-05-25,86,True,Top 3 Caseoh Moments of this month 🔥,65,30-60s,1269,38,4,36,7,0.0,False,False,True,29.945
5eUxIb39bTo,https://www.youtube.com/shorts/5eUxIb39bTo,2026-05-25,86,True,🔥CASEOH DOING FREESTYLE RAP🔥  #caseoh,38,30-60s,1671,36,8,28,4,1.0,False,False,False,21.544
fRx9BCwtvGQ,https://www.youtube.com/shorts/fRx9BCwtvGQ,2026-05-23,88,True,Caseoh's last expedition in Expedition Antarctica Roblox!,25,20-29s,2431,28,8,57,8,0.0,False,False,False,11.518
TTWcOSfXk7c,https://www.youtube.com/shorts/TTWcOSfXk7c,2026-05-23,88,True,Case hits a 7 KO in roblox #caseoh,32,30-60s,223,10,4,26,7,0.1667,False,False,False,44.843
ge4xUh0C56w,https://www.youtube.com/shorts/ge4xUh0C56w,2026-05-22,89,True,That was CREEPY,6,0-9s,34,3,1,15,3,0.3333,False,False,True,88.235
OyFWpQIK7fw,https://www.youtube.com/shorts/OyFWpQIK7fw,2026-05-22,89,True,How spooky time be at Caseohs  #caseoh,23,20-29s,15,1,,29,6,0.0,False,False,False,66.667
HJhhJAZ2VhA,https://www.youtube.com/shorts/HJhhJAZ2VhA,2026-05-22,89,True,CASEOH and JYNXZI get eaten in Subnautica 2!!!!,36,30-60s,38,3,,47,8,0.2857,False,False,False,78.947
8Mp7scfvWs8,https://www.youtube.com/shorts/8Mp7scfvWs8,2026-05-22,89,True,Caseoh gets eaten by fish in Subnautica 2 #caseoh #jynxzi #subnautica2,24,20-29s,44,3,,41,8,0.0,False,False,False,68.182
